run,status,domain,endpoint,n,estimate,ci95_low,ci95_high,paired_contrast,paired_delta,paired_ci95_low,paired_ci95_high,p_value,interpretation
R04,complete,diagnosis,diagnosis_concept_f1,,,,,baseline,,,,,
R04,complete,morphology,clinical_fact_f1,,,,,baseline,,,,,
R04,complete,morphology,key_fact_recall,,,,,baseline,,,,,
R05,complete,diagnosis,diagnosis_concept_f1,,,,,R05-R04,,,,,
R05,complete,morphology,clinical_fact_f1,,,,,R05-R04,,,,,
R05,complete,morphology,key_fact_recall,,,,,R05-R04,,,,,
R06,complete,diagnosis,diagnosis_concept_f1,,,,,R06-R04,,,,,
R06,complete,morphology,clinical_fact_f1,,,,,R06-R04,,,,,
R06,complete,morphology,key_fact_recall,,,,,R06-R04,,,,,
R07,complete,diagnosis,diagnosis_concept_f1,,,,,R07-R04,,,,,
R07,complete,morphology,clinical_fact_f1,,,,,R07-R04,,,,,
R07,complete,morphology,key_fact_recall,,,,,R07-R04,,,,,
